id,enabled,installdat,type,elevation,watertype,jointtype,material,diameter1,diameter2,rotation,modelid,comment,status,mfg,megalugmfg,megalugmdl,fitangle,surveyelev,globalid,creator,creationda,editdate,editor,newt,northing,easting,icon_url
"1",TRUE,2018/08/21,Bend,4828.021,Potable,Mechanical,DuctileIron,"8","8",,,,Active,Ford,Star,1500C,"45",Feature,,rmaple,2021/10/24,2021/10/24,rmaple,,1426336.24,3176435.284,./0.png
"2",TRUE,2018/08/21,Bend,4826.166,Potable,Mechanical,DuctileIron,"8","8",,,,Active,Ford,Star,1500C,"45",Feature,,rmaple,2021/10/24,2021/10/24,rmaple,,1426338.614,3176434.382,./0.png
"3",TRUE,2018/08/21,Bend,4825.63,Potable,Mechanical,DuctileIron,"8","8",,,,Active,Ford,Star,1500C,"45",Feature,,rmaple,2021/10/24,2021/10/24,rmaple,,1426356.991,3176428.405,./0.png
"4",TRUE,2018/08/21,Bend,4827.773,Potable,Mechanical,DuctileIron,"8","8",,,,Active,Ford,Star,1500C,"45",Feature,,rmaple,2021/10/24,2021/10/24,rmaple,,1426360.15,3176427.715,./0.png
"5",TRUE,2018/08/21,Cross,4833.035,Potable,Mechanical,DuctileIron,"8","8",,,,Active,Ford,Star,1500C,Other,Feature,,rmaple,2021/10/24,2021/10/24,rmaple,,1426504.974,3176389.883,./0.png
"6",TRUE,2018/08/21,Tap,4838.257,Potable,Mechanical,DuctileIron,"8","6",,,,Active,Ford,Star,1500C,Other,Feature,,rmaple,2021/10/24,2021/10/24,rmaple,,1426548.125,3176564.951,./0.png
"7",TRUE,2018/08/21,Tee,4846.616,Potable,Mechanical,DuctileIron,"8","6",,,,Active,Ford,Star,1500C,Other,Feature,,rmaple,2021/10/24,2021/10/24,rmaple,,1426798.62,3176303.708,./0.png
"8",TRUE,2018/08/22,Cross,4853.194,Potable,Mechanical,DuctileIron,"8","8",,,,Active,Ford,Star,1500C,Other,Feature,,rmaple,2021/10/24,2021/10/24,rmaple,,1426974.708,3176210.813,./0.png
"9",TRUE,2018/08/22,Tee,4858.948,Potable,Mechanical,DuctileIron,"8","6",,,,Active,Ford,Star,1500C,Other,Feature,,rmaple,2021/10/24,2021/10/24,rmaple,,1427245.766,3176057.814,./0.png
"10",TRUE,2018/08/22,SolidSleeve,4862.662,Potable,Mechanical,DuctileIron,"6","6",,,,Active,Ford,Star,1500C,Other,Feature,,rmaple,2021/10/24,2021/10/24,rmaple,,1427380.515,3175162.831,./0.png
"11",TRUE,2018/08/22,SolidSleeve,4862.767,Potable,Mechanical,DuctileIron,"6","6",,,,Active,Ford,Star,1500C,Other,Feature,,rmaple,2021/10/24,2021/10/24,rmaple,,1427385.708,3175163.073,./0.png
"12",TRUE,2018/08/22,Tee,4862.802,Potable,Mechanical,DuctileIron,"6","6",,,,Active,Ford,Star,1500C,Other,Feature,,rmaple,2021/10/24,2021/10/24,rmaple,,1427383.059,3175163.048,./0.png
"13",TRUE,2018/08/22,Reducer,4862.649,Potable,Mechanical,DuctileIron,"8","6",,,,Active,Ford,Star,1500C,Other,Feature,,rmaple,2021/10/24,2021/10/24,rmaple,,1427383.169,3175163.832,./0.png
