id,enabled,installdat,type,elevation,watertype,diameter,comment,status,mfg,saddlemfg,surveyelev,globalid,creationda,creator,editdate,editor,newt,northing,easting,icon_url
"6853",TRUE,2018/10/03,CurbStop,4923.904,NonPotable,"1","0",Active,"0","0",Feature,,2021/07/15,rmaple,2021/07/15,rmaple,,1444257.672,3154010.098,./1.png
"1",Yes,2003/04/01,CorpStop,0,Potable,"1",,Active,,,,8e0f8ecc-beb0-4591-8fa4-24458776c041,2019/02/13,lkoons,2019/02/13,lkoons,,1453211.39342372,3184225.85301521,./0.png
"2",Yes,2003/04/01,CorpStop,0,Potable,"1",,Active,,,,60166174-efcd-4fb4-b869-5087beb4cc81,2019/02/13,lkoons,2019/02/13,lkoons,,1453199.25532465,3184224.43044589,./0.png
"3",Yes,2003/04/01,CorpStop,0,Potable,"1",,Active,,,,f45bfa7d-d00f-418e-acfe-07ec6eba76d1,2019/02/13,lkoons,2019/02/13,lkoons,,1454049.2920104,3183264.23157889,./0.png
"4",Yes,2003/04/01,CorpStop,0,Potable,"1",,Active,,,,7879d083-1cd2-437a-a332-cc9df9cc1145,2019/02/13,lkoons,2019/02/13,lkoons,,1454009.47680131,3183265.07442497,./0.png
"5",Yes,2003/04/01,CorpStop,0,Potable,"1",,Active,,,,6a68d3e2-1a5b-42c0-846f-35ab4ea74174,2019/02/13,lkoons,2019/02/13,lkoons,,1453668.99257414,3183313.31087706,./0.png
"6",Yes,2003/04/01,CorpStop,0,Potable,"1",,Active,,,,e8865929-f8d6-4ad5-8741-68ad96196054,2019/02/13,lkoons,2019/02/13,lkoons,,1453634.44867998,3183320.18553522,./0.png
"7",Yes,2003/04/01,CorpStop,0,Potable,"1",,Active,,,,f56df5eb-82fc-4399-b9e9-40ba43148500,2019/02/13,lkoons,2019/02/13,lkoons,,1453348.88953981,3183370.0223778,./0.png
"8",Yes,2003/04/01,CorpStop,0,Potable,"1",,Active,,,,383c1884-5f65-4c63-8f90-2416de601a1d,2019/02/13,lkoons,2019/02/13,lkoons,,1453235.19258873,3183408.42387581,./0.png
"9",Yes,2003/04/01,CorpStop,0,Potable,"1",,Active,,,,776676fa-807c-436b-afce-772594a4c464,2019/02/13,lkoons,2019/02/13,lkoons,,1453104.78733772,3183474.89552763,./0.png
"10",Yes,2003/04/01,CorpStop,0,Potable,"1",,Active,,,,05507f8c-8a0d-4a6f-a7da-e0a590a8390a,2019/02/13,lkoons,2019/02/13,lkoons,,1452906.49016215,3183651.22358705,./0.png
"11",Yes,2003/04/01,CorpStop,0,Potable,"1",,Active,,,,f46e5a7d-cbd7-494f-9902-fddf094f72c3,2019/02/13,lkoons,2019/02/13,lkoons,,1452821.8377724,3183773.51500914,./0.png
"12",Yes,2003/04/01,CorpStop,0,Potable,"1",,Active,,,,c9499ef4-9d60-4f24-83fa-5912193b0f64,2019/02/13,lkoons,2019/02/13,lkoons,,1452722.98527981,3183917.77456313,./0.png
"13",Yes,2003/04/01,CorpStop,0,Potable,"1",,Active,,,,a0384051-2f00-4cf0-a790-ea1528a880ad,2019/02/13,lkoons,2019/02/13,lkoons,,1452578.44783923,3184138.85778239,./0.png
"14",Yes,2003/04/01,CorpStop,0,Potable,"1",,Active,,,,af07b0b0-e38e-49a8-8a1a-6cf3eee7c01f,2019/02/13,lkoons,2019/02/13,lkoons,,1452484.27217457,3184252.31720114,./0.png
"15",Yes,2003/04/01,CorpStop,0,Potable,"1",,Active,,,,133296f4-b6db-4052-90fc-0588d0d86dbb,2019/02/13,lkoons,2019/02/13,lkoons,,1452183.55164739,3184485.97618264,./0.png
"16",Yes,2003/04/01,CorpStop,0,Potable,"1",,Active,,,,1bf835ea-2423-46ec-82c2-6d6e155264d5,2019/02/13,lkoons,2019/02/13,lkoons,,1451959.26436631,3184643.76228438,./0.png
"17",Yes,2003/04/01,CorpStop,0,Potable,"1",,Active,,,,57ef0f2a-87e1-4902-af77-3f804c07cfa4,2019/02/13,lkoons,2019/02/13,lkoons,,1452231.95509389,3184859.81631422,./0.png
"18",Yes,2003/04/01,CorpStop,0,Potable,"1",,Active,,,,44ef6208-e257-4f00-8c6b-945b06c081d9,2019/02/13,lkoons,2019/02/13,lkoons,,1452213.77074707,3184850.66377348,./0.png
"19",Yes,2003/04/01,CorpStop,0,Potable,"1",,Active,,,,a074dc79-a0fe-4556-9f63-50ca4e9f0ff5,2019/02/13,lkoons,2019/02/13,lkoons,,1451850.39188065,3184369.16834539,./0.png
"20",Yes,2003/03/01,CorpStop,0,Potable,"1",,Active,,,,9414a93e-91ce-4dca-af70-9f1992b2a486,2019/02/13,lkoons,2019/02/13,lkoons,,1460471.52818164,3217529.13384947,./0.png
"21",Yes,2003/03/01,CorpStop,0,Potable,"1",,Active,,,,e21ce0ae-e98a-45e6-8c64-84845f94362a,2019/02/13,lkoons,2019/02/13,lkoons,,1460472.92516048,3217527.32282947,./0.png
"22",Yes,2003/03/01,CorpStop,0,Potable,"1",,Active,,,,9a74488f-b7ee-43bc-a59a-ee47cc6b7b2e,2019/02/13,lkoons,2019/02/13,lkoons,,1460472.0016059,3217521.23918022,./0.png
