id,enabled,installdat,type,elevation,watertype,diameter,rotation,tracerwire,modelid,comment,status,openleft,curopen,turnsclose,mfg,megalugmfg,megalugmdl,surveyelev,globalid,creationda,creator,editdate,editor,newt,northing,easting,icon_url
"1169",Yes,,Gate,0,Potable,"6","90",No,V903,,Retired,Yes,Yes,"18",,,,,9a293d35-2577-481f-ad2a-516e435531da,2019/02/13,lkoons,2019/02/13,lkoons,,3154367.19586913,1455243.64231198,./0.png
"2437",Yes,,Gate,4823.694,Potable,"8","0",No,V2189,,Active,Yes,Yes,"0",AmericanFlowControl,Star,"3500",,7f12b886-5da5-45f2-bae4-d0c6cb780770,2019/02/13,lkoons,2019/02/13,lkoons,,3260213.06455755,1421668.15631348,./0.png
"2438",Yes,,Gate,4823.929,Potable,"10","90",No,V2190,,Active,Yes,Yes,"0",AmericanFlowControl,Star,"3500",,956aefec-923b-4198-8e30-0437fdfb142d,2019/02/13,lkoons,2019/02/13,lkoons,,3260208.90774173,1421665.13171323,./0.png
"2439",Yes,,Gate,4839.473,Potable,"6","0",No,V2191,,Active,Yes,Yes,"0",Mueller,Star,"3500",,92452a59-c481-4325-af34-7ad11d79836a,2019/02/13,lkoons,2019/02/13,lkoons,,3178655.61710846,1428821.92218964,./0.png
"2448",Yes,2008/03/01,Gate,5128.173,Potable,"6","45",Yes,V2200,,Active,Yes,Yes,"18",Mueller,Star,"3500",,3887d38c-0a05-4703-8886-4c542a00737e,2019/02/13,lkoons,2019/02/13,lkoons,,3163780.21280423,1454929.77187672,./0.png
"2449",Yes,,Gate,4819.422,Potable,"6","90",No,V2201,,Active,Yes,No,"0",AmericanFlowControl,Star,"3500",,45aba8ab-1daa-4dd8-a043-274f325a51dd,2019/02/13,lkoons,2019/02/13,lkoons,,3228540.70500214,1440052.09428306,./0.png
"2450",Yes,,Gate,4820.045,Potable,"6","0",No,V2202,,Active,Yes,Yes,"0",AmericanFlowControl,Star,"3500",,b00cc105-6c28-4efe-b917-06df44335113,2019/02/13,lkoons,2019/02/13,lkoons,,3228517.02230673,1440059.77176115,./0.png
"2451",Yes,,Gate,4820.019,Potable,"6","0",No,V2203,,Active,Yes,Yes,"0",AmericanFlowControl,Star,"3500",,96ee4e02-e992-47d7-8e8a-41e5967e0c02,2019/02/13,lkoons,2019/02/13,lkoons,,3228517.40485188,1440049.58378939,./0.png
"2452",Yes,,Gate,4838.272,Potable,"12","90",Yes,V2204,,Active,Yes,Yes,"0",Mueller,Star,"3500",,9690741a-f165-42ca-892f-d80c1c83222d,2019/02/13,lkoons,2019/02/13,lkoons,,3178650.35005863,1428856.62815697,./0.png
"1",TRUE,2018/08/21,Gate,4834.121,Potable,"8",,Yes,,,Active,Yes,Yes,"26",AmericanFlowControl,Ford,1500C,Feature,,2021/10/25,rmaple,2021/10/25,rmaple,,3176390.671,1426501.897,./0.png
